rank,tier,drug,target_axis,mechanism,evidence_level,evidence_source,pediatric_status,risk_notes,regulatory_status,approved_jurisdiction,pediatric_indication,lincs_eligible,regulatory_evidence_url,l2s2_n_signatures,l2s2_n_total,l2s2_min_pvalue,l2s2_mean_neglog10p,l2s2_mean_odds_ratio,l1k_n_signatures,l1k_n_total,l1k_mean_score,l1k_max_score,n_engines,n_total_signatures,lincs_firewall_status,lincs_firewall_reason,lincs_mechanism_flag
1,Tier1-DIRECT-RESCUE,Ataluren (PTC124 / Translarna),BUB1B p.Leu737Ter UGA,"Oral translational readthrough inducer; promotes near-cognate tRNA insertion at the premature UGA stop codon, allowing full-length BUBR1 translation",STRONG mechanism for UGA nonsense suppression; efficacy is allele/context-dependent (2–5% restoration reported in literature; ≥10% full-length BUBR1 is the Track 2 go/no-go threshold),PMC5098639; Keeling et al. 2016; Welch et al. 2007,FDA/EMA-approved for nonsense-mutation DMD (EU); pediatric dosing precedent in DMD and CF trials,Variable readthrough efficiency; may restore truncated protein that retains KEN/ABBA motifs; requires functional assay in patient cells,APPROVED_MEDICATION,"Brazil, Chile, Iceland, Israel, Korea, Liechtenstein, Norway, Russia, Saudi Arabia, Ukraine, United Kingdom (MHRA); not FDA or EMA",limited,True,https://www.ema.europa.eu/en/news/translarna-ema-re-confirms-non-renewal-authorisation-duchenne-muscular-dystrophy-medicine; https://www.medicines.org.uk/emc/product/10430/smpc,0,0,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,
2,Tier1-INVESTIGATIONAL-FUTURE,ELX-02,Eukaryotic ribosome; BUB1B p.Leu737Ter UGA,Synthetic eukaryotic ribosome-selective glycoside (ERSG) that promotes UGA stop-codon readthrough,SUPPORTING in G542X CFTR PDOs/organoids; restores full-length CFTR protein and mRNA levels,ELX-02 Phase 2 NCT04135495; Eloxx 2020 Drug Future; JCF 2021,Phase 2 completed in CF; no pediatric MVA data; subcutaneous/inhaled routes,Ototoxicity/nephrotoxicity class risk lower than aminoglycosides but not eliminated; requires patient-derived validation,INVESTIGATIONAL,none,no,False,https://clinicaltrials.gov/study/NCT04135495,0,0,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,
3,Tier1-STABILISATION,NMN (nicotinamide mononucleotide),SIRT2/BUBR1 K668,NAD+ precursor; SIRT2 deacetylation of BUBR1 K668 blocks ubiquitylation/proteasomal decay and raises BUBR1 protein in vivo,"STRONG for protein rescue in mice/MEFs. Lifespan +58% (males +123%) is SIRT2-Tg in *BubR1^H/H*, NOT NMN",North et al. 2014 EMBO J 33:1438-1453 doi:10.15252/embj.201386907,GRAS supplement; adult trials ongoing; paediatric data limited,Low; theoretical NAD+ metabolism effects,SUPPLEMENT_FOOD_GRAS,none (dietary supplement / NDI; not an approved medication),no,False,https://www.regulations.gov/docket/FDA-2023-P-1867,0,2,1.0,0.0,0.119,0,0,,,0,0,REJECT,regulatory_status=SUPPLEMENT_FOOD_GRAS; anti_target_mechanism; no_significant_lincs_signal,anti_target
4,Tier1-STABILISATION,Nicotinamide riboside (NR),SIRT2/BUBR1 K668,Alternative NAD+ precursor on the same SIRT2/BUBR1 axis,SUPPORTING (same pathway; NR raises NAD+ in multiple tissues but was not the BUBR1 rescue arm),Zhang et al. 2016 Science; North et al. 2014,GRAS supplement,Low,SUPPLEMENT_FOOD_GRAS,none (FDA GRAS no-questions for food use),no,False,https://www.fda.gov/food/gras-notice-inventory/agency-response-letter-gras-notice-no-grn-000635,0,2,1.0,0.0,0.119,0,0,,,0,0,REJECT,regulatory_status=SUPPLEMENT_FOOD_GRAS; anti_target_mechanism; no_significant_lincs_signal,anti_target
5,Tier2-PROTEOSTASIS,Glycerol phenylbutyrate (Ravicti; sodium-free 4-PBA prodrug),ER stress / proteostasis / HDAC,Chemical chaperone and HDAC/proteostasis modulator; hydrolysed to phenylbutyric acid; rescues aneuploidy-associated neuronal apoptosis and protein aggregates in human iPSC models,SUPPORTING in human aneuploid iPSC neurons (trisomy 21/13); NO direct MVA/BUBR1 rescue data,Fisher et al. 2020 Sci Rep; Oromendia 2015; Ravicti FDA/EMA UCD approvals,FDA-approved for urea-cycle disorders (including infants/children); sodium-free liquid; palatable,BBB/CNS penetration via MCT transporters; no sodium load; neurotoxicity at very high doses remains a theoretical risk; anti-proliferative effects are double-edged in a cancer-predisposed child,APPROVED_MEDICATION,FDA; EMA,yes,True,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=900e7dc0-9afe-4f50-80de-90567bb78519; https://www.ema.europa.eu/en/documents/product-information/ravicti-epar-product-information_en.pdf,0,0,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,
6,Tier2-PROTEOSTASIS,Arimoclomol,HSF1/HSP,Heat-shock response amplifier; stabilises lysosomal function; FDA-approved for Niemann-Pick C and crosses the BBB,SUPPORTING (paediatric approval; BBB penetration); NO direct MVA/BUBR1 rescue data,McKay et al. / Miplyffa FDA 2024; DailyMed SmPC,FDA-approved for Niemann-Pick C (paediatric ≥2 yrs),Theoretical risk: HSF1/HSP activation is an aneuploid-cancer survival pathway; could help aneuploid cells survive and expand; oncologic monitoring required,APPROVED_MEDICATION,FDA (Miplyffa approved Sep 2024; EMA refused marketing authorisation Jul 2026),yes,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5feffc0e-453d-47fa-91dd-38d4952309bc,0,0,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,
7,Tier2-AUTOPHAGY,Trehalose,TFEB / lysosome-autophagy,Disaccharide that induces mTORC1-independent TFEB nuclear translocation and autophagy-lysosome biogenesis; clears protein aggregates in neurodegenerative models; aneuploid cells activate TFEB due to lysosomal saturation,SUPPORTING in neurodegenerative storage (Batten) and aneuploidy lysosomal-stress models; NO direct MVA/BUBR1 rescue data,Santagouda & Amon 2015 Genes Dev; Sidransky et al. 2021; Settembre et al. 2011; DeBosch 2016 Sci Signal,Food ingredient/GRAS; paediatric autophagy trials limited; high doses can cause osmotic diarrhoea,BBB penetration modest; does not address BUBR1 protein directly; Trehalase in gut limits oral bioavailability (forms exist to bypass this),SUPPLEMENT_FOOD_GRAS,none (FDA food ingredient / GRAS),no,False,https://hfpappexternal.fda.gov/Scripts/Fdcc/index.cfm?id=45&set=GRASNotices,0,0,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,
8,Tier2-AUTOPHAGY,Spermidine,TFEB / autophagy,Natural polyamine that promotes autophagy and TFEB activation through mTORC1-independent pathways,SUPPORTING in ageing/autophagy models; NO direct MVA/BBB/paediatric data,EBioMedicine/Eisenberg et al.; Morselli 2010 Autophagy,Supplement; paediatric safety/efficacy data minimal,Bioavailability and CNS penetration uncertain; exogenous polyamine metabolism may alter cancer cell proliferation,SUPPLEMENT_FOOD_GRAS,none (EU novel food ingredient; no approved medication),no,False,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32020R0443,0,0,,,,0,0,,,0,0,NO_LINCS_HIT,not_found_in_l2s2_or_l1000cds2,
9,Tier2-AUTOPHAGY,Rapamycin (sirolimus),MTORC1/autophagy via FKBP1A,mTORC1 inhibition; fly TOR-depletion / larval rapamycin rescued aneuploid neuroblast COUNTS (not brain size),MODERATE in fly neuroblast count rescue; CAVEAT: unpublished *BubR1^H/H* mouse rapamycin diet negative (Baker 2013 Cell Rep note),Gonzalez-Blanco et al. 2026 Nat Commun 17:3829; Sieben et al. 2020 JCI; Baker et al. 2013 Cell Rep 3:1164,FDA-approved (transplant); paediatric use established,Immunosuppression; growth delay; metabolic effects; infection risk — supportive only,APPROVED_MEDICATION,FDA; EMA,limited,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3275b824-3f82-4151-2ab2-0036a9ba0acc,2,13,0.0,1.253,0.673,3,5,0.04522,0.0519,2,5,ACCEPT,passed_all_filters,mechanism_ok
10,Tier2-AUTOPHAGY,Everolimus,MTORC1/autophagy via FKBP1A,mTORC1 inhibitor; paediatric-approved for TSC-SEGA,SUPPORTING (same rapalog mechanism as sirolimus; less fly data),EMBO Mol Med / clinical TSC literature; ChEMBL FKBP1A target,FDA-approved paediatric (TSC-SEGA ≥1 yr),Immunosuppression; stomatitis; growth effects — supportive only,APPROVED_MEDICATION,FDA; EMA,yes,True,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2150f73a-179b-4afc-b8ce-67c85cc72f04,1,11,1e-05,0.659,0.727,0,0,,,1,1,WEAK,only_1_signature_total,mechanism_ok
